quarter_end,year,quarter,offence,open_1yr_plus,share_of_quarter
2020-06-30,2020,Q2,Other,2.0,0.0004116920543433512
2020-09-30,2020,Q3,Violence against the person,1801.0,0.24661098178830618
2020-09-30,2020,Q3,Drug offences,1112.0,0.15226619197590033
2020-09-30,2020,Q3,Miscellaneous crimes against society,1017.0,0.13925783924414625
2020-09-30,2020,Q3,Sexual offences,844.0,0.1155689442694783
2020-09-30,2020,Q3,Theft offences,532.0,0.07284677529782281
2020-09-30,2020,Q3,Possession of weapons,426.0,0.05833219224976037
2020-09-30,2020,Q3,Fraud offences,402.0,0.05504587155963303
2020-09-30,2020,Q3,Not known,344.0,0.047103929891825276
2020-09-30,2020,Q3,Robbery,298.0,0.0408051485690812
2020-09-30,2020,Q3,Public order offences,248.0,0.0339586471313159
2020-09-30,2020,Q3,Criminal damage and arson,107.0,0.014651513076817746
2020-09-30,2020,Q3,Summary non-motoring,99.0,0.013556072846775298
2020-09-30,2020,Q3,Summary motoring,71.0,0.009722032041626728
2020-09-30,2020,Q3,Other,2.0,0.00027386005751061206
2020-12-31,2020,Q4,Violence against the person,2648.0,0.2569626394953906
2020-12-31,2020,Q4,Drug offences,1625.0,0.1576904415332363
2020-12-31,2020,Q4,Miscellaneous crimes against society,1328.0,0.12886948083454633
2020-12-31,2020,Q4,Sexual offences,1276.0,0.12382338670548278
2020-12-31,2020,Q4,Theft offences,717.0,0.06957787481804949
2020-12-31,2020,Q4,Possession of weapons,549.0,0.05327510917030567
2020-12-31,2020,Q4,Fraud offences,530.0,0.051431344007763224
2020-12-31,2020,Q4,Robbery,472.0,0.045803008248423094
2020-12-31,2020,Q4,Not known,444.0,0.04308588064046579
2020-12-31,2020,Q4,Public order offences,324.0,0.0314410480349345
2020-12-31,2020,Q4,Criminal damage and arson,145.0,0.014070839398350316
2020-12-31,2020,Q4,Summary non-motoring,132.0,0.012809315866084425
2020-12-31,2020,Q4,Summary motoring,113.0,0.01096555070354197
2020-12-31,2020,Q4,Other,2.0,0.00019408054342552158
2021-03-31,2021,Q1,Violence against the person,3102.0,0.25528763064768334
2021-03-31,2021,Q1,Drug offences,1941.0,0.15973993909966258
2021-03-31,2021,Q1,Miscellaneous crimes against society,1567.0,0.12896057937618302
2021-03-31,2021,Q1,Sexual offences,1482.0,0.12196527034811949
2021-03-31,2021,Q1,Theft offences,825.0,0.06789564644885195
2021-03-31,2021,Q1,Possession of weapons,690.0,0.05678544975722163
2021-03-31,2021,Q1,Fraud offences,632.0,0.052012180067484155
2021-03-31,2021,Q1,Robbery,554.0,0.04559295531231997
2021-03-31,2021,Q1,Not known,461.0,0.037939264258085754
2021-03-31,2021,Q1,Public order offences,414.0,0.034071269854332974
2021-03-31,2021,Q1,Criminal damage and arson,175.0,0.014402106822483746
2021-03-31,2021,Q1,Summary non-motoring,155.0,0.012756151757057032
2021-03-31,2021,Q1,Summary motoring,150.0,0.012344662990700354
2021-03-31,2021,Q1,Other,3.0,0.0002468932598140071
2021-06-30,2021,Q2,Violence against the person,2919.0,0.2595820364606492
2021-06-30,2021,Q2,Drug offences,1936.0,0.17216540684748777
2021-06-30,2021,Q2,Miscellaneous crimes against society,1413.0,0.1256558470431303
2021-06-30,2021,Q2,Sexual offences,1346.0,0.11969764339706536
2021-06-30,2021,Q2,Theft offences,754.0,0.06705202312138728
2021-06-30,2021,Q2,Possession of weapons,622.0,0.05531347265451312
2021-06-30,2021,Q2,Robbery,539.0,0.04793241440640285
2021-06-30,2021,Q2,Fraud offences,519.0,0.046153846153846156
2021-06-30,2021,Q2,Not known,416.0,0.03699421965317919
2021-06-30,2021,Q2,Public order offences,376.0,0.03343708314806581
2021-06-30,2021,Q2,Criminal damage and arson,184.0,0.016362827923521565
2021-06-30,2021,Q2,Summary non-motoring,114.0,0.010137839039573144
2021-06-30,2021,Q2,Summary motoring,104.0,0.009248554913294798
2021-06-30,2021,Q2,Other,3.0,0.00026678523788350376
2021-09-30,2021,Q3,Violence against the person,3448.0,0.2640729110821781
2021-09-30,2021,Q3,Drug offences,2489.0,0.19062571800566747
2021-09-30,2021,Q3,Miscellaneous crimes against society,1549.0,0.11863368308187179
2021-09-30,2021,Q3,Sexual offences,1543.0,0.11817415945469863
2021-09-30,2021,Q3,Theft offences,863.0,0.06609481504174006
2021-09-30,2021,Q3,Possession of weapons,717.0,0.054913073447193074
2021-09-30,2021,Q3,Robbery,596.0,0.045646013632534274
2021-09-30,2021,Q3,Fraud offences,562.0,0.043042046411886345
2021-09-30,2021,Q3,Not known,461.0,0.035306732021138085
2021-09-30,2021,Q3,Public order offences,438.0,0.033545224783640956
2021-09-30,2021,Q3,Criminal damage and arson,198.0,0.015164279696714406
2021-09-30,2021,Q3,Summary non-motoring,114.0,0.008730948916290112
2021-09-30,2021,Q3,Summary motoring,76.0,0.005820632610860075
2021-09-30,2021,Q3,Other,3.0,0.0002297618135865819
2021-12-31,2021,Q4,Violence against the person,3740.0,0.25828729281767954
2021-12-31,2021,Q4,Drug offences,2942.0,0.2031767955801105
2021-12-31,2021,Q4,Miscellaneous crimes against society,1735.0,0.11982044198895028
2021-12-31,2021,Q4,Sexual offences,1655.0,0.11429558011049724
2021-12-31,2021,Q4,Theft offences,897.0,0.06194751381215469
2021-12-31,2021,Q4,Possession of weapons,802.0,0.05538674033149171
2021-12-31,2021,Q4,Fraud offences,636.0,0.04392265193370166
2021-12-31,2021,Q4,Robbery,606.0,0.04185082872928177
