quarter_end,year,quarter,age_band,age_order,count
2025-06-30,2025,Q2,6 months to under 1 year,7.0,16301.0
2025-06-30,2025,Q2,1 to 2 years,8.0,13139.0
2025-06-30,2025,Q2,2 years or more,9.0,5825.0
2025-09-30,2025,Q3,Under 4 weeks,1.0,8548.0
2025-09-30,2025,Q3,4 to 8 weeks,2.0,6967.0
2025-09-30,2025,Q3,8 to 12 weeks,3.0,6292.0
2025-09-30,2025,Q3,12 to 16 weeks,4.0,5858.0
2025-09-30,2025,Q3,16 to 20 weeks,5.0,4649.0
2025-09-30,2025,Q3,20 to 26 weeks,6.0,6213.0
2025-09-30,2025,Q3,6 months to under 1 year,7.0,16651.0
2025-09-30,2025,Q3,1 to 2 years,8.0,14092.0
2025-09-30,2025,Q3,2 years or more,9.0,5960.0
2025-12-31,2025,Q4,Under 4 weeks,1.0,7323.0
2025-12-31,2025,Q4,4 to 8 weeks,2.0,7395.0
2025-12-31,2025,Q4,8 to 12 weeks,3.0,5946.0
2025-12-31,2025,Q4,12 to 16 weeks,4.0,5279.0
2025-12-31,2025,Q4,16 to 20 weeks,5.0,4662.0
2025-12-31,2025,Q4,20 to 26 weeks,6.0,6299.0
2025-12-31,2025,Q4,6 months to under 1 year,7.0,17893.0
2025-12-31,2025,Q4,1 to 2 years,8.0,14839.0
2025-12-31,2025,Q4,2 years or more,9.0,6163.0
